"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"g1147.t1.CDS1",96.4123312727713,5.49928440264346,1.04092518825104,5.28307362019295,1.27034311114924e-07,4.11066461075141e-06
"g661.t1.CDS4",1000.39588311834,5.62144685133996,1.06637493466681,5.27154818496965,1.35277761399803e-07,4.33034296437864e-06
"g316.t1.CDS3",46.6170726485801,6.58906297352653,1.25332072040428,5.25728400261435,1.46198448935449e-07,4.63013598383862e-06
"g2108.t1.CDS1",2244.36873428847,-2.52782772266696,0.48443641810143,-5.21807945937229,1.80787908912212e-07,5.6653221561227e-06
"g1255.t1.CDS1",57.6839216107117,-3.14521450872763,0.604810371843783,-5.20033163310236,1.98933253409266e-07,6.16900307707691e-06
"g2022.t1.CDS1",192.859860408783,-2.94631833782131,0.567966708262224,-5.18748422215802,2.13153977951926e-07,6.47509584043757e-06
"g317.t1.CDS1",88.1501782586001,2.72166558191833,0.524489335525717,5.1891723960227,2.11230770475375e-07,6.47509584043757e-06
"g549.t1.CDS17",22.9634906152565,7.23649024867149,1.40151252172878,5.16334327127183,2.42577696922966e-07,7.29448286605726e-06
"g1907.t1.CDS1",37144.4623938087,-7.35590792666269,1.42851953083759,-5.14932261538608,2.61428881038747e-07,7.78273778852349e-06
"g2343.t1.CDS2",20.9775721870462,4.07950512200824,0.79500959273167,5.13139106660458,2.87608657504426e-07,8.47733637020472e-06
"g440.t1.CDS1",269.074235238915,3.06337084823442,0.597500064374216,5.12697994676001,2.94426863135888e-07,8.59322325054451e-06
"g2898.t1.CDS5",25.0991701063142,-6.33357226021448,1.23826731640418,-5.11486669825595,3.13962598015109e-07,9.07443353680562e-06
"g250.t1.CDS1",104.848803286515,6.25231321465188,1.22590953037673,5.10014243280294,3.39397980422633e-07,9.71526718959787e-06
"g2221.t1.CDS6",64.4618903181712,-3.79014158061656,0.748454755958772,-5.063955503578,4.10645535365683e-07,1.16427786550823e-05
"g1225.t1.CDS12",105.328126391287,-2.57732813049058,0.509540070832739,-5.05814611651339,4.23352004386338e-07,1.18059076935999e-05
"g1672.t1.CDS1",255.110805214201,-3.12395975882816,0.617663409728291,-5.05770571742688,4.24330575483772e-07,1.18059076935999e-05
"g549.t1.CDS5",20.3401627352408,4.50090649814955,0.891714900083974,5.04747256968084,4.47693023082932e-07,1.23405752751656e-05
"g571.t1.CDS2",153.894294766564,3.14289003984338,0.62567277528078,5.02321686992528,5.08131114440564e-07,1.38780397035739e-05
"g808.t1.CDS4",22.8405401851453,-3.45139001008396,0.688522027687909,-5.01275176579884,5.36570998876263e-07,1.45215623968603e-05
"g1073.t1.CDS1",390.807211790671,3.1581134696053,0.631025500419072,5.00473192843705,5.59398236454975e-07,1.50029599092474e-05
